Track Title,Artist,BPM,YouTube Link
CARNIVAL,"¥$, Kanye West & Ty Dolla $ign ft Rich The Kid & Playboi Carti",74.0,https://www.youtube.com/watch?v=pEskP0ulPlA
Since U Been Gone,Kelly Clarkson,131.0,https://www.youtube.com/watch?v=R7UrFYvl5TE
Soak City,310babii,101.94,https://www.youtube.com/watch?v=qG27ZXU6QBQ
Problem,Ariana Grande ft Iggy Azalea,103.0,https://www.youtube.com/watch?v=iS1g8G_njx8
BILLIE EILISH.,Armani White,100.0,https://www.youtube.com/watch?v=4vYOwhll1fs
BILLIE EILISH.,Armani White,100.0,https://www.youtube.com/watch?v=4vYOwhll1fs
MY HOUSE,Beyoncé,136.0,https://www.youtube.com/watch?v=vQn_y5w0JUI
TEXAS HOLD 'EM,Beyoncé,110.0,https://www.youtube.com/watch?v=238Z4YaAr1g
Dance,Big Sean ft Nicki Minaj,80.0,https://www.youtube.com/watch?v=pn1VGytzXus
Bongos,Cardi B ft Megan Thee Stallion,122.0,https://www.youtube.com/watch?v=Ux1f1Q8Zxhk
Everytime We Touch,Cascada,141.0,https://www.youtube.com/watch?v=4G6QDNC4jPs
Entrapreneur,Central Cee,71.5,https://www.youtube.com/watch?v=-LATBW89Imo
Twerk,City Girls ft Cardi B,95.0,https://www.youtube.com/watch?v=QryoOF5jEbc
Players,Coi Leray,105.0,https://www.youtube.com/watch?v=5gr755jYWQU
Players,Coi Leray,105.0,https://www.youtube.com/watch?v=5gr755jYWQU
Players,Coi Leray,105.0,https://www.youtube.com/watch?v=5gr755jYWQU
All The Way Up,Fat Joe & Remy Ma ft French Montana,87.6,https://www.youtube.com/watch?v=y2ak_oBeC-I
Fergalicious,Fergie ft Will.I.Am,129.0,https://www.youtube.com/watch?v=5T0utQ-XWGY
Somebody That I Used To Know,Gotye ft Kimbra,129.0,https://www.youtube.com/watch?v=8UVNT4wvIGY
Princess Diana,Ice Spice,148.0,https://www.youtube.com/watch?v=gMq-I0dejjE
Think U The Shit,Ice Spice,122.0,https://www.youtube.com/watch?v=Ou7c8Sg9YVg
Gangsta Boo,Ice Spice ft Lil Tjay,73.5,https://www.youtube.com/watch?v=_4gcXoXz4H0
No Role Modelz,J. Cole,100.0,https://www.youtube.com/watch?v=nSERqaFagJc
Lovin on Me,Jack Harlow,105.0,https://www.youtube.com/watch?v=Iq8h3GEe22o
Down,Jay Sean ft Lil Wayne,131.99,https://www.youtube.com/watch?v=oUbpGmR1-QM
Price Tag,Jessie J ft B.o.B,87.99,https://www.youtube.com/watch?v=qMxX-QOV9tI
Price Tag,Jessie J ft B.o.B,88.0,https://www.youtube.com/watch?v=qMxX-QOV9tI
Burnin' Up,Jonas Brothers,114.0,https://www.youtube.com/watch?v=5KNEZJ6KkLI
Waffle House,Jonas Brothers,126.0,https://www.youtube.com/watch?v=TasKo5HHWb4
Seven,Jung Kook ft Latto,125.0,https://www.youtube.com/watch?v=QU9c0053UAU
Euphoria,Loreen,132.0,https://www.youtube.com/watch?v=bcnWysA9gxo
HISS,Megan Thee Stallion,83.54,https://www.youtube.com/watch?v=XVgCLQ_JQfU
HISS,Megan Thee Stallion,83.52,https://www.youtube.com/watch?v=XVgCLQ_JQfU
Zorra,Nebulossa,145.0,https://www.youtube.com/watch?v=GdagS_0hX8k
FTCU,Nicki Minaj,72.5,https://www.youtube.com/watch?v=zE53Otfrr0k
Everybody,Nicki Minaj ft Lil Uzi Vert,138.0,https://www.youtube.com/watch?v=3g5AbGTqvt0
bad idea right?,Olivia Rodrigo,130.0,https://www.youtube.com/watch?v=Dj9qJsJTsjQ
Vampire,Olivia Rodrigo,138.26,https://www.youtube.com/watch?v=RlPNh_PBZb4
FireFlies,Owl City,90.0,https://www.youtube.com/watch?v=psuRGfAaju4
Boy's A Liar Pt.2,Pinkpantheress & Ice Spice,133.0,https://www.youtube.com/watch?v=oftolPu9qp4
Not My Fault,Renee Rapp ft Megan Thee Stallion,124.0,https://www.youtube.com/watch?v=C_kPDIXBCWQ
Feather,Sabrina Carpenter,123.5,https://www.youtube.com/watch?v=kLbn61Z4LDI
Best Friend,Saweetie ft Doja Cat,94.0,https://www.youtube.com/watch?v=_xJUCsyMQes
All Star,Smash Mouth,104.0,https://www.youtube.com/watch?v=L_jWHffIx5E
Wannabe,Spice Girls,110.0,https://www.youtube.com/watch?v=gJLIiF15wjQ
Dynamite,Taio Cruz,120.0,https://www.youtube.com/watch?v=VUjdiDeJ0xg
22,Taylor Swift,104.0,https://www.youtube.com/watch?v=AgFeZr5ptV8
I Knew You Were Trouble,Taylor Swift,154.0,https://www.youtube.com/watch?v=vNoKguSdy4Y
Look What You Made Me Do,Taylor Swift,128.0,https://www.youtube.com/watch?v=3tmd-ClpJxA
TOO MUCH,"The Kid LAROI, Jung Kook & Central Cee",95.0,https://www.youtube.com/watch?v=83Lv790h79k
Tacata,"Tiagz, Fuerza Regida & El Alfa",134.0,https://www.youtube.com/watch?v=LGEBBJJaOWY
The Way I Are,Timbaland ft Keri Hilson & D.O.E.,115.0,https://www.youtube.com/watch?v=U5rLz5AZBIA
Rush,Troye Sivan ft PinkPantheress & Hyunjin Of Stray Kids,126.0,https://www.youtube.com/watch?v=wu0Uftnkssw
Truth Or Dare,Tyla,116.0,https://www.youtube.com/watch?v=UKpz-I9EV84
DJ Got Us Fallin In Love,Usher ft Pitbull,120.0,https://www.youtube.com/watch?v=C-dvTjK_07c
You Make Me Feel,Cobra Starship,132.0,https://www.youtube.com/watch?v=HpyZEzrDf4c
